         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedRandom' objects}
       47    0.000    0.000    0.001    0.000 backend_bases.py:735(__init__)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      223    0.000    0.000    0.000    0.000 {method 'find_by_name' of 'gi.Repository' objects}
       53    0.000    0.000    0.001    0.000 pathlib.py:64(parse_parts)
      127    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
      732    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       30    0.000    0.000    0.001    0.000 bezier.py:201(__call__)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
  249/225    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
       40    0.000    0.000    0.015    0.000 backend_agg.py:251(get_text_width_height_descent)
      234    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      237    0.000    0.000    0.012    0.000 artist.py:1159(set)
       98    0.000    0.000    0.001    0.000 types.py:140(_setup_native_vfuncs)
       72    0.000    0.000    0.001    0.000 lines.py:1085(set_linestyle)
       32    0.000    0.000    0.006    0.000 colors.py:927(from_list)
      327    0.000    0.000    0.001    0.000 docstring.py:92(_get_pytype_hint)
      216    0.000    0.000    0.001    0.000 lines.py:1147(_set_markercolor)
      604    0.000    0.000    0.001    0.000 font_manager.py:1122(_expand_aliases)
       60    0.000    0.000    0.001    0.000 font_manager.py:1417(get_font)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       73    0.000    0.000    0.000    0.000 {method 'get_methods' of 'ObjectInfo' objects}
       36    0.000    0.000    0.001    0.000 transforms.py:637(translated)
     2529    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
  252/165    0.000    0.000    0.000    0.000 transforms.py:180(_invalidate_internal)
      393    0.000    0.000    0.002    0.000 re.py:203(sub)
      191    0.000    0.000    0.000    0.000 __init__.py:184(__init__)
        1    0.000    0.000    0.944    0.944 pyplot.py:4(<module>)
      233    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       72    0.000    0.000    0.000    0.000 lines.py:1067(set_linewidth)
      731    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
      415    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       13    0.000    0.000    0.001    0.000 docstring.py:61(<listcomp>)
       82    0.000    0.000    0.001    0.000 __init__.py:161(override)
     2915    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      386    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(concatenate)
       17    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
        2    0.000    0.000    0.093    0.046 axis.py:1150(draw)
      177    0.000    0.000    0.001    0.000 markers.py:266(_set_fillstyle)
       55    0.000    0.000    0.000    0.000 text.py:1265(set_usetex)
      974    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
